material_id,formula,predicted_tc,formation_energy_per_atom,band_gap,density,is_metal,spacegroup,nelements,nsites
mp-101,Ir,19.54248046875,0.0,0.0,22.304353611621025,True,Fm-3m,1,1
mp-1007690,HgPt3,19.386537551879883,0.064538568750002,0.0,19.31873392798211,True,Pm-3m,2,4
mp-1007691,HfPt,18.57511329650879,-1.260586500000002,0.0,16.736784438892183,True,Cmcm,2,4
mp-1007755,HfAu,17.126014709472656,-0.6057786524999991,0.0,16.25413334264715,True,P4/nmm,2,4
mp-1002104,LaPt,15.806527137756348,-1.297595414999996,0.0,10.966335348750034,True,Cmcm,2,4
mp-1014231,Hf2Zn,15.413576126098633,-0.202637658333339,0.0,12.04292162594286,True,I4/mmm,2,3
mp-100,Hf,14.973407745361328,0.212179789999993,0.0,13.419321464487272,True,Im-3m,1,1
mp-1007758,HfCd,14.241524696350098,-0.095908780000002,0.0,11.355126101566471,True,P4/nmm,2,4
mp-1002115,LaPd,14.046623229980469,-0.8564344275000011,0.0,7.95337698068862,True,Cmcm,2,4
mp-10040,AlPt3C,11.460440635681152,0.163335222500012,0.0,14.14068852898999,True,Pm-3m,3,5
mp-1006242,EuInNi5,11.377041816711426,-0.189574596666668,0.0,9.159505692485302,True,R-3m,3,14
mp-10076,Hf3(NiGe)4,11.258428573608398,-0.6953234172727291,0.0,10.952317897145953,True,Immm,3,11
mp-1008487,BW,10.771885871887207,-0.34565521875,0.0,15.575469659798264,True,Cmcm,2,4
mp-1007666,HoAu,10.261286735534668,-0.9956048700000012,0.0,12.948048836959822,True,Cmcm,2,4
mp-1007918,DyAu,10.070806503295898,-0.8778207408333321,0.0,12.701028936134717,True,Cmcm,2,4
mp-10000,Hf2S,9.376830101013184,-1.171399257604169,0.0,11.182943538781206,True,P6_3/mmc,2,6
mp-10061,ErBPd3,9.36401653289795,-0.6995721767597041,0.0,10.352814348361422,True,Pm-3m,3,5
mp-10060,DyBPd3,9.315720558166504,-0.6601321862272751,0.0,10.14836518821841,True,Pm-3m,3,5
mp-1006277,CeGa4Co9,9.297338485717773,-0.214004188928571,0.0,8.533214614930072,True,I4/mcm,3,28
mp-1009651,CaHg2,8.15083122253418,-0.237483693333331,0.0,8.065133784446884,True,P-3m1,2,3
